,Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,Dist.,2P(FGA),0-3(FGA),3-10(FGA),10-16(FGA),16 <3(FGA),3P(FGA),2P(FG),0-3(FG),3-10(FG),10-16(FG),16 <3(FG),3P(FG),%Ast'd(2PT),%FGA(2PTDunk),Md.(2PTDunk),%FGA(2PTLayups),Md.(2PTLayups),%Ast'd(3PT),%3PA(3PTLayout),3P%((3PT)Layout),Att.,Md.,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%(offens),TOV%(offens),ORB%(offens),FT/FGA(offens),eFG%(defense),TOV%(defense),DRB%(defense),FT/FGA(defense)
1,Toronto Raptors,43.3,89.5,0.484,11.7,33.6,0.348,31.6,55.9,0.566,16.5,20.6,0.804,10,35.6,45.6,24.9,8.1,5.4,13.7,21.2,114.8,0.484,13.7,0.625,0.275,0.175,0.098,0.077,0.375,0.566,0.682,0.468,0.486,0.475,0.348,0.484,0.05,133,0.262,440,0.824,0.18,0.409,1,0,23,9,114.6,107.1,99.2,0.23,0.375,0.549,12.2,23.6,0.185,0.501,12.7,75.3,0.179
2,New Orleans Pelicans,43.4,90.8,0.478,10,28.7,0.349,33.4,62.1,0.538,19.9,25.8,0.771,11.6,35.8,47.4,27.2,7.6,5.5,14.9,22.4,116.7,0.478,13.4,0.684,0.308,0.197,0.094,0.085,0.316,0.538,0.686,0.428,0.44,0.367,0.349,0.552,0.053,135,0.32,537,0.874,0.123,0.339,2,0,17,14,113.7,112.1,102.6,0.284,0.316,0.533,12.7,26,0.219,0.53,11.6,76.4,0.191
3,Philadelphia 76ers,40.9,87.6,0.466,11.1,31.6,0.35,29.8,56,0.532,21.5,27.8,0.772,10.5,36.9,47.4,26.5,7,5.6,15.5,23.1,114.3,0.454,14.9,0.6,0.24,0.137,0.112,0.111,0.4,0.515,0.671,0.406,0.427,0.396,0.363,0.5,0.052,122,0.241,345,0.836,0.131,0.302,1,0,18,13,111.3,108.9,101.3,0.317,0.36,0.53,13.5,24,0.245,0.5,10.8,78.2,0.211
4,Golden State Warriors,43.1,87.9,0.491,12,30.8,0.389,31.2,57.1,0.546,17.8,21.7,0.822,9.8,36,45.8,28.1,7,6.2,14.9,22.2,116.1,0.491,15.2,0.65,0.227,0.104,0.147,0.171,0.35,0.546,0.715,0.404,0.474,0.469,0.389,0.598,0.064,161,0.202,306,0.788,0.117,0.444,2,0,19,11,115.2,110.2,100.1,0.247,0.35,0.559,13.2,23.3,0.203,0.511,11,77.4,0.199
5,Brooklyn Nets,40,88.8,0.45,12.2,34.3,0.356,27.8,54.6,0.509,18.8,25.1,0.748,12,33,45,23.1,6.9,3.8,14.1,23.4,111,0.45,13.4,0.614,0.296,0.182,0.078,0.059,0.386,0.509,0.631,0.404,0.421,0.34,0.356,0.492,0.044,109,0.312,456,0.775,0.124,0.386,2,1,15,16,111.6,112.5,98.1,0.282,0.386,0.555,12.4,26.1,0.211,0.523,11.8,75.6,0.221
6,Los Angeles Lakers,43.4,90.7,0.478,10.8,30.8,0.35,32.6,59.9,0.544,15.9,22.8,0.696,10.1,36,46.1,24.2,8.6,6,15.4,20.5,113.4,0.478,12.6,0.661,0.356,0.143,0.077,0.085,0.339,0.544,0.686,0.362,0.373,0.409,0.35,0.495,0.086,217,0.311,473,0.752,0.123,0.421,3,0,17,13,109.9,108.2,102.8,0.252,0.339,0.537,13.2,22.6,0.175,0.508,12.5,75.5,0.184
7,Washington Wizards,41.7,89.7,0.465,10.8,32.6,0.331,30.9,57.1,0.541,18.7,25,0.748,9,31.6,40.5,24.7,8.5,5.7,13.5,22.2,112.8,0.465,14.8,0.637,0.303,0.127,0.104,0.103,0.363,0.541,0.674,0.42,0.412,0.428,0.331,0.486,0.061,148,0.288,452,0.895,0.149,0.404,1,0,11,19,109.9,114,101.6,0.278,0.363,0.525,11.8,19.8,0.208,0.538,13.7,72.5,0.221
8,New York Knicks,40,91,0.439,10.2,29.4,0.348,29.7,61.7,0.482,18.4,23.8,0.772,11.9,33.5,45.5,19.9,7.2,5,14,22.4,108.5,0.439,13.4,0.678,0.304,0.14,0.105,0.129,0.322,0.482,0.609,0.316,0.392,0.437,0.348,0.395,0.039,93,0.302,447,0.801,0.089,0.272,3,0,10,21,107.7,114.1,99.5,0.262,0.322,0.495,12.1,25.1,0.202,0.543,12.3,75.9,0.204
9,Sacramento Kings,44.2,91.8,0.481,11.3,29.1,0.387,32.9,62.7,0.525,16.1,22.8,0.708,10.3,34.1,44.4,25.6,8.2,4.6,13.8,22.6,115.8,0.481,12.9,0.683,0.278,0.199,0.101,0.105,0.317,0.525,0.689,0.397,0.461,0.394,0.387,0.497,0.064,152,0.279,418,0.82,0.099,0.381,1,0,14,15,111.4,111.5,103.9,0.248,0.317,0.542,12,22.2,0.176,0.534,14,75,0.212
10,San Antonio Spurs,41.4,88.8,0.466,9.3,24,0.389,32,64.8,0.494,18.2,21.9,0.831,10.2,34.1,44.3,23.8,6,4.3,12.3,18.5,110.2,0.466,13.8,0.73,0.221,0.172,0.157,0.181,0.27,0.494,0.662,0.444,0.42,0.402,0.389,0.493,0.025,59,0.233,361,0.857,0.14,0.406,1,0,14,16,111.7,112.5,98,0.246,0.27,0.519,11.1,22.7,0.205,0.538,11.3,78.9,0.168
