,Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,Dist.,2P(FGA),0-3(FGA),3-10(FGA),10-16(FGA),16 <3(FGA),3P(FGA),2P(FG),0-3(FG),3-10(FG),10-16(FG),16 <3(FG),3P(FG),%Ast'd(2PT),%FGA(2PTDunk),Md.(2PTDunk),%FGA(2PTLayups),Md.(2PTLayups),%Ast'd(3PT),%3PA(3PTLayout),3P%((3PT)Layout),Att.,Md.,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%(offens),TOV%(offens),ORB%(offens),FT/FGA(offens),eFG%(defense),TOV%(defense),DRB%(defense),FT/FGA(defense),Year,Champion
0,Los Angeles Lakers,40.8,81.8,0.499,2.4,6,0.393,38.5,75.7,0.508,21.5,27.7,0.779,13,27.5,40.5,25.9,7.2,4.7,14,21.2,105.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14,10,114.1,111.4,92.5,0.338,0.074,0.514,13,33.5,0.264,0.487,12.4,65,0.229,1988,1
1,Detroit Pistons,38.4,82.6,0.465,0.9,3.5,0.259,37.5,79.1,0.474,22,29.2,0.754,14,30.3,44.3,22.3,7.4,4.6,13.8,25.8,99.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.1,7.9,107.6,102.7,91.1,0.354,0.043,0.47,12.7,33.4,0.267,0.453,13.7,72,0.29,1988,0
2,Dallas Mavericks,42.9,86.6,0.496,1.5,5.5,0.269,41.5,81.2,0.511,20.5,27.2,0.755,16.4,28.4,44.8,24.2,7.4,5.1,14.9,20.8,107.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.4,8.6,114.7,114.8,94.1,0.314,0.063,0.504,13.1,38.2,0.237,0.499,11.1,65.6,0.223,1988,0
3,Boston Celtics,37.9,79.7,0.476,2.4,6.8,0.345,35.6,72.9,0.488,25.2,30.9,0.816,11.9,28.5,40.4,26.8,6,4.8,14.9,22.5,103.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9,8,110.1,109.1,92.3,0.388,0.086,0.491,13.8,30,0.317,0.484,12.3,69.8,0.243,1988,0
4,Atlanta Hawks,42.6,84.7,0.503,1.2,4.5,0.259,41.4,80.2,0.517,22.3,28.3,0.785,12.7,26.1,38.8,26.4,7.6,5.1,12.1,26.2,108.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.9,5.1,108.7,107.6,95.1,0.397,0.069,0.497,14.8,27.2,0.307,0.471,13,62.1,0.211,1988,0
5,Denver Nuggets,42,93,0.452,3,10.9,0.275,39,82.1,0.475,23.8,28.8,0.826,15.1,27.2,42.3,22.9,6.8,4.8,11.3,24.7,110.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.6,5.4,115.7,114.2,93.9,0.335,0.053,0.51,11.1,31.1,0.263,0.513,14.3,66.6,0.33,1988,0
6,Utah Jazz,38.4,79.5,0.483,2.3,5.5,0.417,36.1,74,0.488,24.4,31.5,0.772,10.5,27.7,38.3,25.5,7.6,6.6,16.3,22.4,103.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.7,6.3,111.7,114.1,99.2,0.31,0.117,0.468,9.6,31.6,0.256,0.519,13.8,65.3,0.261,1988,0
7,Chicago Bulls,38.4,85.1,0.451,0.8,3.1,0.258,37.6,82,0.459,17.2,21.2,0.811,14.3,28.7,43,23.4,7.1,4,14.9,23.8,94.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6,6.4,102.1,106.5,92.8,0.249,0.036,0.456,13.6,32.1,0.202,0.472,13.1,67.7,0.238,1988,0
8,Seattle Supersonics,46,89.2,0.516,2.2,7.8,0.282,43.8,81.4,0.538,20,28.4,0.704,13.8,30.8,44.6,27.6,5.2,4,15.4,29.8,114.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.4,2.6,114.9,115.5,99.4,0.318,0.087,0.528,13.2,34.3,0.224,0.468,9.6,69.1,0.362,1988,0
9,Milwaukee Bucks,39.8,83.2,0.478,1.4,5.2,0.269,38.4,78,0.492,27.6,35.8,0.771,16,28,44,24.6,6.6,3.4,15.2,24.6,108.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8,3.2,105.9,110.3,89.9,0.415,0.023,0.462,14,32.5,0.306,0.471,13.5,59.4,0.274,1988,0
10,Cleveland Cavaliers,40,80.6,0.496,1,4.8,0.208,39,75.8,0.515,19.4,26.4,0.735,12,28.4,40.4,23.8,5.8,6.4,15.6,19.4,100.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.3,2.7,113.7,115,95.5,0.43,0.063,0.487,13.3,36.9,0.332,0.523,12.6,69.3,0.302,1988,0
11,Washington Bullets,36.4,79,0.461,0.2,1.8,0.111,36.2,77.2,0.469,24.2,32.8,0.738,13.4,24.6,38,16.4,7,5.2,15.2,24.6,97.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.2,2.8,108,109.8,92.9,0.328,0.06,0.502,14.5,30.2,0.241,0.464,11.2,62.8,0.199,1988,0
12,Houston Rockets,39,86.3,0.452,2.3,6.3,0.36,36.8,80,0.459,24.3,29.5,0.822,16,28,44,19.8,8,4.3,14.8,22.5,104.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7,3.3,105.2,117.1,94.4,0.264,0.135,0.463,14,32.9,0.216,0.522,13.8,67.3,0.354,1988,0
13,Portland Trail Blazers,41,96,0.427,2.5,7.8,0.323,38.5,88.3,0.436,19.8,26.3,0.752,19,29,48,22.5,9.8,4.3,16.3,29,104.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.7,2.3,109.7,112.3,95.3,0.342,0.072,0.465,12.9,35.8,0.281,0.507,13.8,66.7,0.255,1988,0
14,New York Knicks,38.3,87,0.44,4,11.8,0.34,34.3,75.3,0.455,18.8,23,0.815,13.5,27.3,40.8,25.5,8.3,5.3,15.8,28.8,99.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5,2.5,103.1,107.3,101.2,0.273,0.081,0.44,13.1,37.8,0.206,0.525,17.8,77.9,0.392,1988,0
15,San Antonio Spurs,45.7,97,0.471,2.3,6.7,0.35,43.3,90.3,0.48,16,22.3,0.716,15,23.3,38.3,27.7,11,3.7,18,24,109.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6,2.4,103.9,114,105.6,0.23,0.069,0.483,14.4,30.6,0.165,0.559,16.6,64.2,0.264,1988,0
16,League Average,40.2,84.3,0.478,1.8,5.8,0.314,38.4,78.5,0.49,22,28.4,0.777,13.8,28.1,41.9,24.4,7.2,4.8,14.4,23.7,104.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5,5,110.4,110.4,94,0.337,0.068,0.488,13,32.9,0.262,0.488,13,67.1,0.262,1988,0
17,Detroit Pistons,37.9,80.1,0.473,2.5,8.4,0.296,35.4,71.7,0.494,22.4,29.4,0.762,13.8,30.4,44.2,22.6,4.9,4.5,12.1,25,100.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.8,4.2,113.2,104.5,88.9,0.367,0.104,0.489,11.5,33.7,0.279,0.466,12.4,74.4,0.283,1989,1
18,Chicago Bulls,36.6,78.1,0.469,4.3,12.2,0.353,32.4,65.9,0.491,22.1,29.1,0.759,12.2,29,41.2,23.5,7.8,4.2,15.9,26.4,99.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.7,5.3,115.8,110.9,95.4,0.43,0.121,0.518,13.3,32.4,0.336,0.483,11.8,66.2,0.224,1989,0
19,Los Angeles Lakers,40,80.5,0.497,3.4,9.7,0.349,36.6,70.8,0.517,27.1,34.7,0.781,12.5,29.6,42.1,25.4,6.9,4.9,14.7,22.5,110.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.6,8.4,108,107.8,91.1,0.372,0.156,0.497,14.9,30.8,0.282,0.474,13.7,66.2,0.28,1989,0
20,Phoenix Suns,45,95.1,0.473,2.8,8.8,0.314,42.3,86.3,0.489,25.6,30.4,0.841,16.9,33.4,50.3,27.5,9.3,4.6,15.8,22.8,118.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.4,3.6,113.4,106.6,104.4,0.32,0.092,0.488,12.7,35,0.269,0.486,13.3,72.6,0.234,1989,0
